SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Condo/Co-op,3201 St Paul St #109,Baltimore,MD,21218,325000,,,,1417,,2007,,229,,,,,https://www.redfin.com/MD/Baltimore/3201-St-Paul-St-21218/unit-109/home/11892560,,,N,Y,39.3276611,-76.615726
PAST SALE,May-21-2020,Townhouse,109 S High St #91,Baltimore,MD,21202,290000,2,2.5,Ward 3,2198,,2005,,132,165,Sold,,,https://www.redfin.com/MD/Baltimore/109-S-High-St-21202/unit-91/home/11891646,BRIGHT MLS,MDBA505854,N,Y,39.2885142,-76.6028032
PAST SALE,June-30-2021,Condo/Co-op,414 Water St #1113,Baltimore,MD,21202,294900,2,2.0,Ward 4,1403,,2007,,210,810,Sold,,,https://www.redfin.com/MD/Baltimore/414-Water-St-21202/unit-1113/home/12546807,BRIGHT MLS,MDBA547284,N,Y,39.2887343,-76.6092485
PAST SALE,April-12-2021,Condo/Co-op,1211 Light St #210,Baltimore,MD,21230,173000,2,1.0,Ward 24,870,,2005,,199,422,Sold,,,https://www.redfin.com/MD/Baltimore/1211-Light-St-21230/unit-210/home/11223466,BRIGHT MLS,MDBA540868,N,Y,39.2755685,-76.6117565
PAST SALE,,Condo/Co-op,414 Water St #2314,Baltimore,MD,21202,220000,,,,1021,,2008,,215,,,,,https://www.redfin.com/MD/Baltimore/414-Water-St-21202/unit-2314/home/18959353,,,N,Y,39.2887343,-76.6092485
PAST SALE,,Condo/Co-op,414 Water St #1403,Baltimore,MD,21202,199900,,,,1044,,2007,,191,,,,,https://www.redfin.com/MD/Baltimore/414-Water-St-21202/unit-1403/home/12546853,,,N,Y,39.2887343,-76.6092485
PAST SALE,,Condo/Co-op,851 Watson St #9,Baltimore,MD,21202,260000,,,,1798,,2005,,145,,,,,https://www.redfin.com/MD/Baltimore/851-Watson-St-21202/unit-9/home/12055724,,,N,Y,39.2893673,-76.6041902
PAST SALE,,Condo/Co-op,3201 St Paul St #108,Baltimore,MD,21218,360000,,,,2368,,2007,,152,,,,,https://www.redfin.com/MD/Baltimore/3201-St-Paul-St-21218/unit-108/home/11892559,,,N,Y,39.3276611,-76.615726
PAST SALE,,Condo/Co-op,2772 Lighthouse Pt E #217,Baltimore,MD,21224,425000,,,,2135,,2007,,199,,,,,https://www.redfin.com/MD/Baltimore/2772-Lighthouse-Pt-E-21224/unit-217/home/12546761,,,N,Y,39.2779106,-76.5789166
PAST SALE,October-8-2021,Condo/Co-op,3201 Saint Paul St #218,Baltimore,MD,21218,330000,2,2.0,Ward 12,1372,,2007,,241,309,Sold,,,https://www.redfin.com/MD/Baltimore/3201-St-Paul-St-21218/unit-218/home/23462861,BRIGHT MLS,MDBA2009580,N,Y,39.3276611,-76.615726
